X:0.201322	Y:0.0311603
X:0.184582	Y:0.188012
X:0.117681	Y:0.283993
X:0.102001	Y:0.295383
X:0.125181	Y:0.202552
X:0.0271303	Y:0.0164402
X:0.302373	Y:0.296343
X:0.292093	Y:0.145761
X:0.265633	Y:0.139401
X:0.187722	Y:0.0884109
X:0.300443	Y:0.260423
X:0.0346903	Y:0.207312
X:0.0945409	Y:0.0859609
X:0.0219702	Y:0.105981
X:0.162262	Y:0.261933
X:0.000740007	Y:0.270723
X:0.0721407	Y:0.147591
X:0.326063	Y:0.241932
X:0.205292	Y:0.117791
X:0.0700207	Y:0.0835208
X:0.173742	Y:0.123181
X:0.235222	Y:0.286073
X:0.298533	Y:0.212012
X:0.100421	Y:0.319073
X:0.259663	Y:0.0337003
X:0.225372	Y:0.143101
X:0.00720007	Y:0.0787108
X:0.246692	Y:0.309603
X:0.322253	Y:0.0365004
X:0.0766408	Y:0.0438704
X:0.252863	Y:0.302943
X:0.173222	Y:0.0802208
X:0.282373	Y:0.0528105
X:0.318463	Y:0.142131
X:0.263213	Y:0.202592
X:0.110011	Y:0.129981
X:0.318393	Y:0.0915809
X:0.275043	Y:0.152312
X:0.297183	Y:0.138781
X:0.147461	Y:0.270953
X:0.0891609	Y:0.286583
X:0.247752	Y:0.0113001
X:0.315033	Y:0.262763
X:0.0635006	Y:0.146571
X:0.128001	Y:0.319183
X:0.297813	Y:0.253453
X:0.163912	Y:0.286773
X:0.0110001	Y:0.118741
X:0.164592	Y:0.192662
X:0.216912	Y:0.132831
X:0.296013	Y:0.278943
X:0.099181	Y:0.229732
X:0.273113	Y:0.0646206
X:0.0302103	Y:0.0462905
X:0.0699307	Y:0.188402
X:0.179852	Y:0.188052
X:0.259153	Y:0.120211
X:0.0488405	Y:0.0652507
X:0.189122	Y:0.0667207
X:0.166172	Y:0.0507805
X:0.234432	Y:0.158692
X:0.144121	Y:0.146961
X:0.102201	Y:0.00261003
X:0.228422	Y:0.291333
X:0.0855809	Y:0.204012
X:0.209642	Y:0.0589306
X:0.195582	Y:0.097651
X:0.211682	Y:0.269873
X:0.130781	Y:0.173272
X:0.172812	Y:0.327433
X:0.258753	Y:0.155202
X:0.241202	Y:0.0215002
X:0.0151602	Y:0.241552
X:0.211152	Y:0.277833
X:0.120441	Y:0.0657107
X:0.221972	Y:0.119271
X:0.104661	Y:0.264583
X:0.190372	Y:0.0480005
X:0.161912	Y:0.232952
X:0.198362	Y:0.267493
X:0.135671	Y:0.225512
X:0.290333	Y:0.0212902
X:0.0689107	Y:0.0751108
X:0.263273	Y:0.229692
X:0.0355004	Y:0.0672107
X:0.197302	Y:0.300473
X:0.0823108	Y:0.171422
X:0.0167002	Y:0.142241
X:0.292313	Y:0.220912
X:0.139531	Y:0.222562
X:0.159642	Y:0.189742
X:0.195142	Y:0.213572
X:0.236042	Y:0.209712
X:0.161452	Y:0.208492
X:0.324543	Y:0.132101
X:0.246002	Y:0.136601
X:0.128691	Y:0.242192
X:0.258113	Y:0.0491305
X:0.237992	Y:0.310293
X:0.0390004	Y:0.180632
