X:0.320627	Y:0.0455947
X:0.440229	Y:0.449599
X:0.636128	Y:0.549486
X:0.54033	Y:0.425336
X:0.546861	Y:0.305277
X:0.803125	Y:0.0641499
X:0.296121	Y:0.218329
X:0.106632	Y:0.449141
X:0.98291	Y:0.447401
X:0.108066	Y:0.709006
X:0.420759	Y:0.452528
X:0.224677	Y:0.699759
X:0.217689	Y:0.38084
X:0.601276	Y:0.727744
X:0.73278	Y:0.821833
X:0.970244	Y:0.594378
X:0.0659505	Y:0.462325
X:0.810205	Y:0.744987
X:0.737419	Y:0.673971
X:0.710135	Y:0.801874
X:0.212592	Y:0.562822
X:0.344432	Y:0.263833
X:0.929197	Y:0.513596
X:0.965789	Y:0.65276
X:0.98233	Y:0.759056
X:0.821619	Y:0.888668
X:0.124088	Y:0.00607318
X:0.401135	Y:0.174535
X:0.234107	Y:0.6498
X:0.918027	Y:0.172521
X:0.916562	Y:0.606494
X:0.936216	Y:0.751762
X:0.38081	Y:0.297342
X:0.544389	Y:0.0902127
X:0.261391	Y:0.813471
X:0.985321	Y:0.411115
X:0.533616	Y:0.793909
X:0.146794	Y:0.135472
X:0.181066	Y:0.0480361
X:0.820215	Y:0.731742
X:0.77163	Y:0.452986
X:0.13242	Y:0.0440382
X:0.597491	Y:0.157811
X:0.0585345	Y:0.380261
X:0.536332	Y:0.625813
X:0.420209	Y:0.140996
X:0.289102	Y:0.545549
X:0.277047	Y:0.270974
X:0.151219	Y:0.142705
X:0.116672	Y:0.313639
X:0.973052	Y:0.923276
X:0.74987	Y:0.351024
X:0.466262	Y:0.37962
X:0.316904	Y:0.609058
X:0.512009	Y:0.691092
X:0.311808	Y:0.0105594
X:0.62743	Y:0.94937
X:0.0299997	Y:0.456679
X:0.246406	Y:0.94113
X:0.346568	Y:0.117893
X:0.971282	Y:0.018067
X:0.230171	Y:0.51619
X:0.451277	Y:0.0864589
X:0.900204	Y:0.679586
X:0.0443739	Y:0.246712
X:0.0322275	Y:0.149937
X:0.918455	Y:0.114963
X:0.919126	Y:0.125706
X:0.748039	Y:0.357341
X:0.992676	Y:0.520707
X:0.663442	Y:0.468307
X:0.613666	Y:0.219947
X:0.607593	Y:0.324595
X:0.535142	Y:0.31431
X:0.757622	Y:0.545701
X:0.946165	Y:0.594745
X:0.167089	Y:0.192114
X:0.501511	Y:0.087405
X:0.285134	Y:0.833003
X:0.244331	Y:0.911466
X:0.508835	Y:0.513901
X:0.827448	Y:0.239906
X:0.425001	Y:0.656423
X:0.939604	Y:0.645589
X:0.897794	Y:0.420667
X:0.343272	Y:0.612873
X:0.658071	Y:0.561632
X:0.430128	Y:0.496841
X:0.551225	Y:0.31138
X:0.69982	Y:0.710959
X:0.0991546	Y:0.317515
X:0.0694296	Y:0.424299
X:0.53325	Y:0.169652
X:0.419019	Y:0.550218
X:0.954039	Y:0.545152
X:0.279489	Y:0.306681
X:0.774255	Y:0.50502
X:0.0698569	Y:0.130711
X:0.101352	Y:0.971679
X:0.789056	Y:0.227302
